cas;radon[Bq/m3];Rn222error;Temperature °C (C) AG1914  [DVD];Air pressure mbar (mbar) AG1914  [DVD];Humidity rel.% (%) AG1914  [DVD]
10.05.2019 15:00;50;51;26,1;1056,3;29,5
10.05.2019 16:00;326;32;25;1056,6;30,8
10.05.2019 17:00;418;38;24,9;1056,6;31,3
10.05.2019 18:00;430;40;24,9;1056,6;31,6
10.05.2019 19:00;434;41;24,8;1056,7;31,6
10.05.2019 20:00;398;41;24,5;1056,7;32
10.05.2019 21:00;362;38;24,3;1056,8;32,3
10.05.2019 22:00;390;39;24;1056,8;32,5
10.05.2019 23:00;392;39;23,8;1056,9;32,8
11.05.2019 0:00;370;38;23,5;1057;32,8
11.05.2019 1:00;400;39;23,3;1057;33,3
11.05.2019 2:00;384;39;23;1057,1;33,3
11.05.2019 3:00;410;40;22,8;1057,1;33,3
11.05.2019 4:00;354;39;22,5;1057,2;33,8
11.05.2019 5:00;396;39;22,5;1057,2;33,8
11.05.2019 6:00;318;36;22,5;1057,2;33,8
11.05.2019 7:00;386;39;22,5;1057,2;33,8
11.05.2019 8:00;380;39;22,5;1057,2;33,5
11.05.2019 9:00;356;38;22,6;1057,2;33,3
11.05.2019 10:00;378;38;22,6;1057,2;33,3
11.05.2019 11:00;388;39;22,8;1057,2;33,3
11.05.2019 12:00;366;38;22,9;1057,1;33,3
11.05.2019 13:00;310;36;22,9;1057,1;33
11.05.2019 14:00;376;38;23,1;1057,1;32,8
11.05.2019 15:00;376;39;23,3;1057,1;32,8
11.05.2019 16:00;378;38;23,5;1057;32,8
11.05.2019 17:00;396;39;23,5;1057;32,5
11.05.2019 18:00;330;37;23,5;1057;32,5
11.05.2019 19:00;332;36;23,5;1057;32,5
11.05.2019 20:00;360;38;23,5;1057;32,8
11.05.2019 21:00;356;38;23,5;1057;32,8
11.05.2019 22:00;326;37;23,5;1057;32,8
11.05.2019 23:00;334;37;23,4;1057;32,8
12.05.2019 0:00;292;35;23,4;1057;32,8
12.05.2019 1:00;332;37;23,3;1057;32,8
12.05.2019 2:00;308;37;23,3;1057;32,8
12.05.2019 3:00;354;37;23,3;1057,1;32,8
12.05.2019 4:00;292;35;23,1;1057,1;32,8
12.05.2019 5:00;316;36;23,1;1057,1;32,8
12.05.2019 6:00;300;35;23,1;1057,1;32,8
12.05.2019 7:00;298;35;23,1;1057,1;32,8
12.05.2019 8:00;302;34;23,1;1057,1;32,8
12.05.2019 9:00;284;34;23,1;1057,1;32,8
12.05.2019 10:00;340;37;23,1;1057,1;32,8
12.05.2019 11:00;326;36;23,1;1057,1;32,8
12.05.2019 12:00;255;33;23,3;1057,1;32,8
12.05.2019 13:00;362;36;23,4;1057;32,8
12.05.2019 14:00;268;34;23,4;1057;32,8
12.05.2019 15:00;286;34;23,5;1057;32,8
12.05.2019 16:00;304;35;23,5;1057;32,5
12.05.2019 17:00;266;33;23,6;1057;32,5
12.05.2019 18:00;304;35;23,6;1057;32,5
12.05.2019 19:00;302;35;23,6;1057;32,5
12.05.2019 20:00;298;35;23,6;1057;32,5
12.05.2019 21:00;318;36;23,6;1057;32,5
12.05.2019 22:00;296;35;23,5;1057;32,8
12.05.2019 23:00;316;35;23,5;1057;32,8
13.05.2019 0:00;266;34;23,4;1057;32,8
13.05.2019 1:00;260;33;23,3;1057;32,8
13.05.2019 2:00;272;34;23,3;1057;32,8
13.05.2019 3:00;266;33;23,1;1057,1;32,8
13.05.2019 4:00;247;33;23,1;1057,1;32,8
13.05.2019 5:00;320;35;23,1;1057,1;32,8
13.05.2019 6:00;264;34;23,1;1057,1;32,8
13.05.2019 7:00;278;34;23,1;1057,1;32,8
13.05.2019 8:00;253;33;23,1;1057,1;32,8
13.05.2019 9:00;280;34;23,1;1057,1;32,8
13.05.2019 10:00;248;33;23,1;1057,1;32,8
13.05.2019 11:00;280;34;23,3;1057,1;32,8
13.05.2019 12:00;318;35;23,3;1057;32,8
13.05.2019 13:00;270;34;23,5;1057;32,8
13.05.2019 14:00;274;34;23,6;1057;32,5
13.05.2019 15:00;270;33;24;1056,9;32,3
